index_x,id,contact_city,contact_state,found,manual,remove,still_there,FoundCity,FoundState,Keep?,foundStateAbb,origin_lon,origin_lat,dest_lon,dest_lat,index_y,org_id,url,type.x,species,breed_primary,breed_secondary,breed_mixed,breed_unknown,color_primary,color_secondary,color_tertiary,age,sex,size,coat,fixed,house_trained,declawed,special_needs,shots_current,env_children,env_dogs,env_cats,name,status,posted,contact_zip,contact_country,stateQ,accessed,description
0,44520267,Anoka,MN,Arkansas,,,,,Arkansas,,AR,-92.3731,34.7487,-94.6859,46.7296,37734,MN214,https://www.petfinder.com/dog/boris-44520267/mn/anoka/angel-of-hope-animal-rescue-mn214/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Miniature Schnauzer,,False,False,Black,White / Cream,,Adult,Male,Small,Medium,True,False,,True,True,,True,True,Boris,adoptable,2019-04-22T18:39:09+0000,55303,US,MN,2019-09-20,"Boris is a handsome mini schnauzer who made his long trek up her from Arkansas on 4/2019. He loves rope toys and running around his foster mom's yard. 

He is 4 years old, just under 10 pounds, and is a special needs dog. He needs vitamin B-12 shots every other week (may change), and needs prescription dog food with no meet or protein. Boris is on a vegan diet.

If interested in Boris please fill out or adoption application so we can set up a meet and greet for you! His foster mom can explain more in-depth about his needs and can answer any questions you may have about his lifestyle.

Boris' adoption fee is $300 and the application can be found at http://www.aohrescue.org/dog-adoption-application"
56,45945049,Westminster,CO,Alabama,,1.0,,,Alabama,,AL,-86.6807,32.601,-105.7821,39.5501,7292,CO405,https://www.petfinder.com/dog/jake-courtesy-listing-45945049/co/westminster/evergreen-animal-protective-league-eapl-westiminster-location-co405/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Australian Cattle Dog / Blue Heeler,,True,False,,,,Senior,Male,Medium,,True,True,,False,False,,,,Jake - Courtesy Listing,adoptable,2019-09-11T23:25:56+0000,80021,US,CO,2019-09-20,"All people inquiring about pets listed as Courtesy Listings on the EAPL website and/or EAPL posting adoption boards should contact the current pet owner/rescue/shelter for answers to any questions and for final approval and placement. Please DO NOT CONTACT EAPL about courtesy listings. The pet owner/rescue/shelter and new owner shall make all arrangements on transferring the pet, information on history, vaccines, etc.

My name is Jake, My family loves me very much but unfortunately I'm struggling with adapting to the new little humans. I used to get all the cuddles and attention due to my anxiety and hard early life but these days they are really busy with the toddler and growing another baby. My mom adopted me at 5 years old from Alabama and from then I've lived an amazing life, traveled all over, and really enjoy being by my owners side. I'm now 12 years old and enjoy the calmer things in life, like a nice walk, sleeping all day and sniffing around the yard. Since the addition of my new sister I am not a huge fan of other dogs and little humans in my space. While I may be getting older I still have a lot of spunk for being 12 years old. I am looking for a new owner in a peaceful home that will give me all the love and attention I deserve. Here is a few things about me:

-I love belly rubs.

-I enjoy a nice car ride even though sometimes I get anxiety and would rather sit in the floor boards.

-I do leashes but prefer being free to roam and wander. Don't worry I won't go too far away from you.

-I'm a rescue so I can be skittish and have snapped if I feel threatened or scared.

-I like to protect my home and humans so I will bark when people come to the door or I first meet them, then I usually warm up.

-I'm potty trained.

-I'm neutered.

-I will sleep on the dog bed or cuddled up with you and I am good about staying off the furniture... most the time. ;)

-I shake, sit and really enjoy food, especially the good stuff you eat.

My ideal home would be no other dogs or young kids and a yard to explore, I'm not a big fan of peeing on pavement and loud noises of the city. The sooner we can find someone the better. Please reach out if you think Jakey is a good fit for you and your home. Seth
C.
541-261-9649

Age: 12

Weight: 35lbs

Fee: $60

Thank for any help in finding our pup a new home!"
57,45945048,Evergreen,CO,Alabama,,1.0,,,Alabama,,AL,-86.6807,32.601,-105.7821,39.5501,7293,CO132,https://www.petfinder.com/dog/jake-courtesy-listing-45945048/co/evergreen/evergreen-animal-protective-league-eapl-co132/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Australian Cattle Dog / Blue Heeler,,True,False,,,,Senior,Male,Medium,,True,True,,False,False,,,,Jake - Courtesy Listing,adoptable,2019-09-11T23:25:48+0000,80437,US,CO,2019-09-20,"All people inquiring about pets listed as Courtesy Listings on the EAPL website and/or EAPL posting adoption boards should contact the current pet owner/rescue/shelter for answers to any questions and for final approval and placement. Please DO NOT CONTACT EAPL about courtesy listings. The pet owner/rescue/shelter and new owner shall make all arrangements on transferring the pet, information on history, vaccines, etc.

My name is Jake, My family loves me very much but unfortunately I'm struggling with adapting to the new little humans. I used to get all the cuddles and attention due to my anxiety and hard early life but these days they are really busy with the toddler and growing another baby. My mom adopted me at 5 years old from Alabama and from then I've lived an amazing life, traveled all over, and really enjoy being by my owners side. I'm now 12 years old and enjoy the calmer things in life, like a nice walk, sleeping all day and sniffing around the yard. Since the addition of my new sister I am not a huge fan of other dogs and little humans in my space. While I may be getting older I still have a lot of spunk for being 12 years old. I am looking for a new owner in a peaceful home that will give me all the love and attention I deserve. Here is a few things about me:

-I love belly rubs.

-I enjoy a nice car ride even though sometimes I get anxiety and would rather sit in the floor boards.

-I do leashes but prefer being free to roam and wander. Don't worry I won't go too far away from you.

-I'm a rescue so I can be skittish and have snapped if I feel threatened or scared.

-I like to protect my home and humans so I will bark when people come to the door or I first meet them, then I usually warm up.

-I'm potty trained.

-I'm neutered.

-I will sleep on the dog bed or cuddled up with you and I am good about staying off the furniture... most the time. ;)

-I shake, sit and really enjoy food, especially the good stuff you eat.

My ideal home would be no other dogs or young kids and a yard to explore, I'm not a big fan of peeing on pavement and loud noises of the city. The sooner we can find someone the better. Please reach out if you think Jakey is a good fit for you and your home. Seth
C.
541-261-9649

Age: 12

Weight: 35lbs

Fee: $60

Thank for any help in finding our pup a new home!"
58,44740613,Westminster,CO,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-105.7821,39.5501,8218,CO405,https://www.petfinder.com/dog/sparky-44740613/co/westminster/evergreen-animal-protective-league-eapl-westiminster-location-co405/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Husky,Labrador Retriever,True,False,,,,Young,Male,Medium,,True,True,,False,True,True,True,False,Sparky,adoptable,2019-05-20T10:02:38+0000,80021,US,CO,2019-09-20,"Sparky is a super active, playful, affectionate, drop-dead gorgeous lab/husky/hound mix.
He's

about 52 pounds and
2-1/2 years old (we gave him a guesstimated bd of 2/14/2017... lucky Valentines day boy!).

His ideal home is with a family and a doggie buddy, a secure 6' fenced yard with plenty of room to run and play, and lots of opportunities to go for rides, to dog parks, and swimming in lakes

. He is a snuggler!!

And d

id we mention that he LOVES to SWIM
??

https://photos.google.com/share/AF1QipP7YVzCAzYCVMVEJCfPGwKN6Y-ENfm9i3sUok6t6nLeHsRfb4kfi2-8fhazRn4lcA/photo/AF1QipO1qxDf2md5bQ7q4X5RiIg94n3RsRKDePMKcLf1?key=S01xWHcxVDZLX1IyMlpOUWFXWnVaaWFYTnhRUm13

Sparky came to us from Alabama and is seeking a furever family familiar with the unique qualities of husky dogs. Must have secure fenced yard and another dog. No apartments. No cats.

Interested

in this fun, special boy? Put in an application today at www.eapl.com"
59,44739540,Evergreen,CO,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-105.7821,39.5501,8219,CO132,https://www.petfinder.com/dog/sparky-44739540/co/evergreen/evergreen-animal-protective-league-eapl-co132/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Husky,Labrador Retriever,True,False,,,,Young,Male,Medium,,True,True,,False,True,True,True,False,Sparky,adoptable,2019-05-20T09:04:14+0000,80437,US,CO,2019-09-20,"Sparky is a super active, playful, affectionate, drop-dead gorgeous lab/husky/hound mix.
He's

about 52 pounds and
2-1/2 years old (we gave him a guesstimated bd of 2/14/2017... lucky Valentines day boy!).

His ideal home is with a family and a doggie buddy, a secure 6' fenced yard with plenty of room to run and play, and lots of opportunities to go for rides, to dog parks, and swimming in lakes

. He is a snuggler!!

And d

id we mention that he LOVES to SWIM
??

https://photos.google.com/share/AF1QipP7YVzCAzYCVMVEJCfPGwKN6Y-ENfm9i3sUok6t6nLeHsRfb4kfi2-8fhazRn4lcA/photo/AF1QipO1qxDf2md5bQ7q4X5RiIg94n3RsRKDePMKcLf1?key=S01xWHcxVDZLX1IyMlpOUWFXWnVaaWFYTnhRUm13

Sparky came to us from Alabama and is seeking a furever family familiar with the unique qualities of husky dogs. Must have secure fenced yard and another dog. No apartments. No cats.

Interested

in this fun, special boy? Put in an application today at www.eapl.com"
60,46026256,Patterson,NY,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-75.789,42.9543,8797,NY1334,https://www.petfinder.com/dog/archie-46026256/ny/patterson/happy-life-animal-rescue-ny1334/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Australian Cattle Dog / Blue Heeler,,False,False,,,,Baby,Male,Medium,,True,False,,False,False,,,,Archie,adoptable,2019-09-19T00:41:58+0000,12563,US,CT,2019-09-20,If interested in meeting Archie he is from Alabama and looking for his forever family. He is 4dx negative and gets along with other dogs. He would be great addition to your family and is food driven. If interested in meeting please fill out an application. Go to happylifeanimalrescue.org
61,46016066,Lodi,NJ,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-74.4057,40.0583,9005,NJ623,https://www.petfinder.com/dog/cassie-46016066/nj/lodi/animal-rescue-r-us-nj623/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Beagle,,True,False,,,,Baby,Female,Medium,Short,False,False,,False,True,True,True,True,Cassie,adoptable,2019-09-18T02:21:40+0000,07644,US,CT,2019-09-20,"Cassie is a 13 week old, Beagle mix that came into the rescue from rural Alabama. As her age suggests, Cassie has the energy of a puppy. She loves to play with her toys and romp around in the fenced yard. Like any puppy, Cassie would benefit from basic training. She is food motivated and responds favorably to positive reinforcement. Cassie has been well-socialized with other animals and would likely do well in a home with respectful children.

If you are interested in meeting and/or potentially adopting this rescue pet, please complete our online application at www.arrus.org. You will be notified via email of your application status prior to our next upcoming event. If you do not receive a response within this timeframe, please send a follow-up email to arrusadopt@gmail.com.

Additional information and/or medical records for this rescue pet are available and will be reviewed in person should we choose to move forward in scheduling a meet nâ greet. In the meantime, please feel free to follow us on follow us on Instagram (animal_rescue_r_us) and visit our Facebook page at www.facebook.com/arrusadopt for more pictures and posts from his/her foster family.

HELP US, HELP THEM! Animal Rescue R Us is a 501(c)(3) non-profit organization. We do not receive county, state or federal funding and rely solely on donations. These donations help offset the cost of routine veterinary care, medical expenses, and other necessities while the rescue animal is in our care. To make a secure donation, please visit www.arrus.org/donate . Alternatively, you may visit our Amazon Wishlist (http://www.amazon.com/registry/wishlist/C36VRV500R85) for a current list of needed supplies! All donations are tax-deductible and all are greatly appreciated. Thank you for your support!"
62,46016034,Lodi,NJ,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-74.4057,40.0583,9007,NJ623,https://www.petfinder.com/dog/chloe-46016034/nj/lodi/animal-rescue-r-us-nj623/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Beagle,,True,False,,,,Baby,Female,Medium,Short,False,False,,False,True,True,True,True,Chloe,adoptable,2019-09-18T02:17:39+0000,07644,US,CT,2019-09-20,"Chloe is a 13 week old, Beagle mix that came into the rescue from rural Alabama. As her age suggests, Chloe has the energy of a puppy. She loves to play with her toys and romp around in the fenced yard. Like any puppy, Chloe would benefit from basic training. She is food motivated and responds favorably to positive reinforcement. Chloe has been well-socialized with other animals and would likely do well in a home with respectful children.

If you are interested in meeting and/or potentially adopting this rescue pet, please complete our online application at www.arrus.org. You will be notified via email of your application status prior to our next upcoming event. If you do not receive a response within this timeframe, please send a follow-up email to arrusadopt@gmail.com.

Additional information and/or medical records for this rescue pet are available and will be reviewed in person should we choose to move forward in scheduling a meet nâ greet. In the meantime, please feel free to follow us on follow us on Instagram (animal_rescue_r_us) and visit our Facebook page at www.facebook.com/arrusadopt for more pictures and posts from his/her foster family.

HELP US, HELP THEM! Animal Rescue R Us is a 501(c)(3) non-profit organization. We do not receive county, state or federal funding and rely solely on donations. These donations help offset the cost of routine veterinary care, medical expenses, and other necessities while the rescue animal is in our care. To make a secure donation, please visit www.arrus.org/donate . Alternatively, you may visit our Amazon Wishlist (http://www.amazon.com/registry/wishlist/C36VRV500R85) for a current list of needed supplies! All donations are tax-deductible and all are greatly appreciated. Thank you for your support!"
63,45985897,Patterson,NY,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-75.789,42.9543,9321,NY1334,https://www.petfinder.com/dog/bess-45985897/ny/patterson/happy-life-animal-rescue-ny1334/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Labrador Retriever,,False,False,,,,Baby,Female,Medium,,False,False,,False,False,,,,Bess,adoptable,2019-09-16T14:40:52+0000,12563,US,CT,2019-09-20,Please come and meet these sweet girls. The foster from Alabama found these girls. They were thrown away in the middle of nowhere. They are sweet and loving and need that forever home so they dont ever have to worry about that again. If interested in meeting please fill out an application. Go to Happylifeanimalrescue.org
64,45985898,Patterson,NY,Alabama,,,,,Alabama,,AL,-86.6807,32.601,-75.789,42.9543,9322,NY1334,https://www.petfinder.com/dog/tess-45985898/ny/patterson/happy-life-animal-rescue-ny1334/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Dog,Dog,Labrador Retriever,,False,False,,,,Baby,Female,Medium,,False,False,,False,False,,,,Tess,adoptable,2019-09-16T14:40:52+0000,12563,US,CT,2019-09-20,Please come and meet these sweet girls. The foster from Alabama found these girls. They were thrown away in the middle of nowhere. They are sweet and loving and need that forever home so they dont ever have to worry about that again. If interested in meeting please fill out an application. Go to Happylifeanimalrescue.org
